Date,Open,High,Low,Close,Adj Close,Volume
2019-08-20,47.029999,47.119999,46.459999,46.599998,45.549427,23113300
2019-08-21,47.110001,47.290001,46.889999,47.150002,46.087029,15915000
2019-08-22,47.279999,47.430000,46.689999,46.779999,45.725368,19783000
2019-08-23,46.349998,46.630001,44.799999,44.959999,43.946400,32814000
2019-08-26,45.820000,45.820000,45.250000,45.560001,44.532875,22080500
2019-08-27,45.869999,46.119999,45.500000,45.790001,44.757687,16925500
2019-08-28,45.700001,45.910000,45.369999,45.790001,44.757687,14888800
2019-08-29,46.459999,47.220001,46.400002,46.869999,45.813339,17803800
2019-08-30,47.240002,47.790001,47.160000,47.410000,46.341164,16922600
2019-09-03,47.119999,47.220001,46.500000,46.980000,45.920860,15003800
2019-09-04,47.560001,48.950001,47.540001,48.919998,47.817123,23450700
2019-09-05,49.930000,51.169998,49.869999,50.099998,48.970520,30014200
2019-09-06,50.250000,50.990002,50.070000,50.919998,49.772030,17067900
2019-09-09,51.060001,52.029999,51.020000,51.590000,50.426929,20749700
2019-09-10,51.330002,51.840000,50.830002,51.820000,50.651745,18532000
2019-09-11,51.599998,52.790001,51.380001,52.790001,51.599876,18968900
2019-09-12,53.000000,53.330002,52.070000,53.009998,51.814915,23308700
2019-09-13,52.759998,53.000000,52.230000,52.540001,51.355515,18010800
2019-09-16,51.900002,52.290001,51.700001,52.200001,51.023182,13354600
2019-09-17,52.049999,52.139999,51.349998,51.950001,50.778816,19641100
2019-09-18,52.130001,52.130001,51.160000,51.740002,50.573551,14906800
2019-09-19,51.700001,51.990002,51.500000,51.570000,50.407379,11428400
2019-09-20,51.599998,51.880001,50.560001,50.720001,49.576542,37067900
2019-09-23,50.830002,51.230000,50.389999,50.900002,49.752491,18916600
2019-09-24,51.099998,51.180000,49.639999,49.820000,48.696831,28197400
2019-09-25,49.750000,51.209999,49.419998,51.020000,49.869781,19486700
2019-09-26,50.980000,51.150002,50.340000,50.919998,49.772030,11351800
2019-09-27,50.630001,51.220001,50.340000,50.779999,49.635189,14845700
2019-09-30,51.189999,51.599998,50.939999,51.529999,50.368282,13652100
2019-10-01,51.970001,52.240002,50.430000,50.759998,49.615643,18413100
2019-10-02,50.310001,50.369999,48.980000,49.389999,48.276527,20078700
2019-10-03,49.500000,50.070000,48.529999,50.029999,48.902096,16320100
2019-10-04,50.349998,50.970001,50.029999,50.919998,49.772030,12644900
2019-10-07,50.700001,51.230000,50.560001,50.619999,49.478794,12081400
2019-10-08,50.160000,50.480000,49.610001,49.730000,48.608864,17409100
2019-10-09,50.470001,50.790001,50.150002,50.480000,49.341953,11834900
2019-10-10,50.410000,51.779999,50.400002,51.110001,49.957752,13907900
2019-10-11,52.000000,52.790001,51.820000,52.090000,50.915657,24072500
2019-10-14,51.900002,51.950001,51.439999,51.639999,50.475800,15016800
